EPOCH_NUM,EPOCH_START_TIME,LAP_TIME,TOTAL_TIME,TRAIN_LOSS,VALID_LOSS,USED_GPU_MOMORY,FREE_GPU_MEMORY,MEMORY_PERCENTAGE,CURRENT_GPU_POWER_CONSUMPTION,GPU_TEMPERATURE
1,2023-06-13 16:40:54,0:00:03.370064,00:00:06,24000.3984375,25304.046875,19949.0,4319.0,19.9,215.37,66.0
2,2023-06-13 16:40:58,0:00:01.766397,00:00:08,26820.502604166668,25298.287109375,19949.0,4319.0,19.9,201.74,66.0
3,2023-06-13 16:41:00,0:00:01.699342,00:00:10,24700.895833333332,25292.048828125,19949.0,4319.0,20.0,212.11,66.0
4,2023-06-13 16:41:02,0:00:01.674923,00:00:12,24518.399088541668,25284.923828125,19949.0,4319.0,20.1,222.32,68.0
5,2023-06-13 16:41:03,0:00:01.507611,00:00:14,23714.013671875,25276.62890625,19949.0,4319.0,20.1,222.36,68.0
6,2023-06-13 16:41:05,0:00:01.430257,00:00:16,25909.0625,25266.912109375,19949.0,4319.0,20.1,221.91,67.0
7,2023-06-13 16:41:07,0:00:01.692186,00:00:18,23695.0546875,25255.15234375,19949.0,4319.0,20.1,208.78,66.0
8,2023-06-13 16:41:09,0:00:01.254491,00:00:19,22942.397135416668,25240.482421875,19949.0,4319.0,20.1,221.46,69.0
9,2023-06-13 16:41:10,0:00:01.419729,00:00:21,24101.250651041668,25221.962890625,19949.0,4319.0,20.1,220.55,69.0
10,2023-06-13 16:41:12,0:00:01.451022,00:00:22,23755.401692708332,25198.36328125,19949.0,4319.0,20.1,227.32,67.0
11,2023-06-13 16:41:13,0:00:01.142063,00:00:24,24607.716145833332,25168.34375,19949.0,4319.0,20.1,219.83,67.0
12,2023-06-13 16:41:15,0:00:01.356830,00:00:25,25269.34375,25130.166015625,19949.0,4319.0,20.1,222.74,68.0
13,2023-06-13 16:41:16,0:00:01.494387,00:00:27,25415.868489583332,25081.615234375,19949.0,4319.0,20.1,231.46,68.0
14,2023-06-13 16:41:18,0:00:01.173130,00:00:28,24365.572265625,25020.220703125,19949.0,4319.0,20.1,221.18,67.0
15,2023-06-13 16:41:20,0:00:01.337498,00:00:30,23380.2109375,24943.021484375,19949.0,4319.0,20.1,216.48,67.0
16,2023-06-13 16:41:21,0:00:01.526683,00:00:32,24661.00390625,24847.27734375,19949.0,4319.0,20.0,210.65,67.0
17,2023-06-13 16:41:23,0:00:01.726804,00:00:34,24540.883463541668,24729.349609375,19949.0,4319.0,20.0,226.38,67.0
18,2023-06-13 16:41:25,0:00:01.803358,00:00:36,22418.20703125,24582.833984375,19949.0,4319.0,20.1,222.87,66.0
19,2023-06-13 16:41:27,0:00:01.614376,00:00:38,24169.700520833332,24401.419921875,19949.0,4319.0,20.0,209.38,67.0
20,2023-06-13 16:41:29,0:00:01.864721,00:00:40,24493.100260416668,24178.638671875,19949.0,4319.0,20.0,213.50,67.0
21,2023-06-13 16:41:31,0:00:01.803949,00:00:42,25107.770182291668,23908.087890625,19949.0,4319.0,20.0,209.00,67.0
22,2023-06-13 16:41:33,0:00:01.808020,00:00:44,23551.761067708332,23583.6015625,19949.0,4319.0,20.0,203.29,67.0
23,2023-06-13 16:41:35,0:00:01.667171,00:00:45,21675.73828125,23200.12890625,19949.0,4319.0,20.0,227.46,67.0
24,2023-06-13 16:41:37,0:00:01.663748,00:00:47,21396.40625,22748.654296875,19949.0,4319.0,19.9,210.58,67.0
25,2023-06-13 16:41:39,0:00:00.769301,00:00:48,22197.901041666668,22220.56640625,19949.0,4319.0,20.0,197.30,67.0
26,2023-06-13 16:41:39,0:00:00.716004,00:00:49,20214.6484375,21607.048828125,19949.0,4319.0,20.1,210.70,68.0
27,2023-06-13 16:41:40,0:00:01.394151,00:00:51,20090.186197916668,20900.9609375,19949.0,4319.0,20.0,223.19,67.0
28,2023-06-13 16:41:42,0:00:01.503615,00:00:53,19617.0,20103.65234375,19949.0,4319.0,20.0,210.22,67.0
29,2023-06-13 16:41:44,0:00:01.971983,00:00:55,19131.455729166668,19215.994140625,19949.0,4319.0,20.0,192.31,67.0
30,2023-06-13 16:41:46,0:00:01.812767,00:00:57,17576.517252604168,18219.455078125,19949.0,4319.0,20.0,213.83,66.0
31,2023-06-13 16:41:48,0:00:01.757898,00:00:59,16819.0166015625,17120.064453125,19949.0,4319.0,20.0,213.38,66.0
32,2023-06-13 16:41:50,0:00:01.621535,00:01:01,15398.9365234375,15930.76171875,19949.0,4319.0,20.0,211.16,67.0
33,2023-06-13 16:41:52,0:00:01.843298,00:01:03,13737.685546875,14660.099609375,19949.0,4319.0,19.9,210.37,66.0
34,2023-06-13 16:41:54,0:00:01.825986,00:01:05,12649.4150390625,13321.7294921875,19949.0,4319.0,19.9,209.75,67.0
35,2023-06-13 16:41:56,0:00:01.604325,00:01:07,11641.8046875,11943.6943359375,19949.0,4319.0,20.0,210.48,67.0
36,2023-06-13 16:41:58,0:00:01.719185,00:01:08,11675.517578125,10550.7607421875,19949.0,4319.0,20.0,223.37,67.0
37,2023-06-13 16:42:00,0:00:01.552193,00:01:10,10030.233072916666,9153.42578125,19949.0,4319.0,20.1,221.43,69.0
38,2023-06-13 16:42:01,0:00:01.487967,00:01:12,7558.490234375,7788.8671875,19949.0,4319.0,20.1,232.42,68.0
39,2023-06-13 16:42:03,0:00:01.432159,00:01:14,7019.676595052083,6502.88818359375,19949.0,4319.0,20.1,212.41,68.0
40,2023-06-13 16:42:05,0:00:01.346866,00:01:15,4760.309326171875,5348.49755859375,19949.0,4319.0,20.1,224.18,68.0
41,2023-06-13 16:42:06,0:00:01.217878,00:01:17,4562.263346354167,4371.212890625,19949.0,4319.0,20.1,225.05,68.0
42,2023-06-13 16:42:08,0:00:01.098924,00:01:18,3874.7537434895835,3580.19482421875,19949.0,4319.0,20.1,225.71,70.0
43,2023-06-13 16:42:09,0:00:01.430491,00:01:20,2535.4007568359375,2999.25244140625,19949.0,4319.0,20.1,222.72,67.0
44,2023-06-13 16:42:11,0:00:01.523371,00:01:21,2285.5767822265625,2618.543212890625,19949.0,4319.0,20.0,211.40,67.0
45,2023-06-13 16:42:12,0:00:02.013332,00:01:24,1938.4165852864583,2368.28466796875,19949.0,4319.0,20.0,221.81,67.0
46,2023-06-13 16:42:15,0:00:01.695959,00:01:25,2081.208211263021,2192.222412109375,19949.0,4319.0,20.0,209.98,67.0
47,2023-06-13 16:42:17,0:00:01.479328,00:01:27,1757.4153238932292,2055.050537109375,19949.0,4319.0,20.0,222.45,67.0
48,2023-06-13 16:42:18,0:00:01.898983,00:01:29,1536.954345703125,1934.8389892578125,19949.0,4319.0,20.0,209.43,67.0
49,2023-06-13 16:42:20,0:00:01.689955,00:01:31,1422.2596638997395,1827.323486328125,19949.0,4319.0,19.9,209.34,67.0
50,2023-06-13 16:42:22,0:00:01.888436,00:01:33,1447.1166585286458,1731.3162841796875,19949.0,4319.0,20.0,209.65,67.0
51,2023-06-13 16:42:26,0:00:01.734394,00:01:37,1361.8510131835938,1647.0960693359375,19949.0,4319.0,20.0,220.09,66.0
52,2023-06-13 16:42:28,0:00:01.810915,00:01:39,1558.3092447916667,1575.6298828125,19949.0,4319.0,20.1,220.36,69.0
53,2023-06-13 16:42:30,0:00:01.428333,00:01:41,1071.3863728841145,1512.3663330078125,19949.0,4319.0,20.1,222.08,68.0
54,2023-06-13 16:42:32,0:00:01.296574,00:01:42,1812.43408203125,1466.828125,19949.0,4319.0,20.1,213.13,67.0
55,2023-06-13 16:42:33,0:00:01.685133,00:01:44,1427.6406656901042,1453.2806396484375,19949.0,4319.0,20.1,223.47,67.0
56,2023-06-13 16:42:35,0:00:01.448929,00:01:46,938.3361511230469,1459.3333740234375,19949.0,4319.0,20.0,208.91,67.0
57,2023-06-13 16:42:37,0:00:01.559753,00:01:48,978.0317586263021,1460.5916748046875,19949.0,4319.0,20.1,221.20,69.0
58,2023-06-13 16:42:39,0:00:01.675147,00:01:50,1196.4114176432292,1454.3740234375,19949.0,4319.0,20.1,213.91,66.0
59,2023-06-13 16:42:41,0:00:01.420699,00:01:51,919.8715413411459,1425.1114501953125,19949.0,4319.0,20.1,221.41,69.0
60,2023-06-13 16:42:42,0:00:01.423951,00:01:53,857.8047688802084,1389.0843505859375,19949.0,4319.0,20.1,220.21,67.0
61,2023-06-13 16:42:44,0:00:01.461026,00:01:54,996.9818318684896,1347.2813720703125,19949.0,4319.0,20.1,219.89,67.0
62,2023-06-13 16:42:46,0:00:01.440049,00:01:56,897.0921630859375,1308.142333984375,19949.0,4319.0,20.1,223.12,67.0
63,2023-06-13 16:42:47,0:00:01.404483,00:01:58,770.0313059488932,1262.61181640625,19949.0,4319.0,20.0,209.80,67.0
64,2023-06-13 16:42:49,0:00:01.906186,00:02:00,733.4686584472656,1222.8099365234375,19949.0,4319.0,20.0,208.72,67.0
65,2023-06-13 16:42:51,0:00:01.810214,00:02:02,732.5688273111979,1194.33447265625,19949.0,4319.0,20.0,221.80,67.0
66,2023-06-13 16:42:53,0:00:01.833773,00:02:04,1109.3941853841145,1180.683837890625,19949.0,4319.0,20.0,211.24,67.0
67,2023-06-13 16:42:55,0:00:01.570643,00:02:06,1071.69677734375,1175.613525390625,19949.0,4319.0,20.0,210.37,67.0
68,2023-06-13 16:42:57,0:00:01.517839,00:02:07,987.1090291341146,1157.3692626953125,19949.0,4319.0,20.0,219.20,67.0
69,2023-06-13 16:42:59,0:00:01.724519,00:02:09,682.3308995564779,1140.1475830078125,19949.0,4319.0,20.0,221.93,67.0
70,2023-06-13 16:43:01,0:00:01.549775,00:02:11,926.9689331054688,1128.8494873046875,19949.0,4319.0,20.0,211.15,67.0
71,2023-06-13 16:43:02,0:00:01.865450,00:02:13,657.6827863057455,1118.299560546875,19949.0,4319.0,20.0,208.43,67.0
72,2023-06-13 16:43:04,0:00:01.555498,00:02:15,1338.3908284505208,1110.3902587890625,19949.0,4319.0,20.0,211.20,67.0
73,2023-06-13 16:43:06,0:00:02.066889,00:02:17,820.5426839192709,1104.9013671875,19949.0,4319.0,20.0,188.24,67.0
74,2023-06-13 16:43:09,0:00:02.100442,00:02:20,765.832997639974,1103.440185546875,19949.0,4319.0,20.0,188.27,67.0
