EPOCH_NUM,EPOCH_START_TIME,LAP_TIME,TOTAL_TIME,TRAIN_LOSS,VALID_LOSS,USED_GPU_MOMORY,FREE_GPU_MEMORY,MEMORY_PERCENTAGE,CURRENT_GPU_POWER_CONSUMPTION,GPU_TEMPERATURE
1,2023-06-13 17:17:52,0:00:02.368361,00:00:05,23653.522786458332,25307.509765625,12662.0,11606.0,10.9,162.06,56.0
2,2023-06-13 17:17:54,0:00:00.595112,00:00:06,25552.506510416668,25302.84375,12662.0,11606.0,10.9,204.43,57.0
3,2023-06-13 17:17:55,0:00:00.667296,00:00:06,24000.567708333332,25297.625,12662.0,11606.0,10.9,200.66,58.0
4,2023-06-13 17:17:56,0:00:00.626751,00:00:07,24387.393880208332,25291.30859375,12662.0,11606.0,10.9,208.62,58.0
5,2023-06-13 17:17:57,0:00:00.741561,00:00:08,25186.451171875,25283.40234375,12662.0,11606.0,10.9,181.54,58.0
6,2023-06-13 17:17:58,0:00:00.592926,00:00:09,23669.475911458332,25273.4765625,12662.0,11606.0,10.9,211.75,59.0
7,2023-06-13 17:17:58,0:00:00.685318,00:00:10,24492.228515625,25261.0,12662.0,11606.0,10.9,212.74,59.0
8,2023-06-13 17:17:59,0:00:00.693842,00:00:10,26414.533854166668,25245.109375,12662.0,11606.0,10.9,210.82,59.0
9,2023-06-13 17:18:00,0:00:00.664916,00:00:11,23857.593098958332,25224.931640625,12662.0,11606.0,10.9,212.24,59.0
10,2023-06-13 17:18:01,0:00:00.704428,00:00:12,24347.543619791668,25199.3984375,12662.0,11606.0,10.9,206.40,59.0
11,2023-06-13 17:18:02,0:00:00.617981,00:00:13,24357.373046875,25166.814453125,12662.0,11606.0,10.9,212.48,60.0
12,2023-06-13 17:18:02,0:00:00.675199,00:00:14,24865.153645833332,25125.240234375,12662.0,11606.0,10.9,210.52,59.0
13,2023-06-13 17:18:03,0:00:00.716966,00:00:15,24476.595052083332,25073.009765625,12662.0,11606.0,10.9,193.96,60.0
14,2023-06-13 17:18:04,0:00:00.722660,00:00:16,24209.192057291668,25008.259765625,12662.0,11606.0,10.9,193.20,60.0
15,2023-06-13 17:18:05,0:00:00.709395,00:00:16,24064.119791666668,24928.453125,12662.0,11606.0,10.9,193.68,60.0
16,2023-06-13 17:18:06,0:00:00.717371,00:00:17,24076.804036458332,24830.76953125,12662.0,11606.0,10.9,214.33,60.0
17,2023-06-13 17:18:07,0:00:00.626532,00:00:18,24573.095052083332,24711.658203125,12662.0,11606.0,10.9,212.80,60.0
18,2023-06-13 17:18:08,0:00:00.618190,00:00:19,24875.764322916668,24567.69140625,12662.0,11606.0,10.9,207.91,61.0
19,2023-06-13 17:18:09,0:00:00.651654,00:00:20,25328.098307291668,24395.67578125,12662.0,11606.0,10.9,206.05,61.0
20,2023-06-13 17:18:09,0:00:00.778176,00:00:21,23926.69921875,24192.228515625,12662.0,11606.0,10.9,197.07,61.0
21,2023-06-13 17:18:10,0:00:00.623921,00:00:21,22888.305989583332,23949.53515625,12662.0,11606.0,10.9,215.21,61.0
22,2023-06-13 17:18:11,0:00:00.675223,00:00:22,22349.863932291668,23662.025390625,12662.0,11606.0,10.2,214.04,61.0
23,2023-06-13 17:18:12,0:00:00.666148,00:00:23,23353.488932291668,23324.44140625,12662.0,11606.0,10.2,215.07,61.0
24,2023-06-13 17:18:13,0:00:00.691593,00:00:24,22764.945963541668,22932.3515625,12662.0,11606.0,10.2,211.31,61.0
25,2023-06-13 17:18:14,0:00:00.630673,00:00:25,22666.563151041668,22479.51953125,12662.0,11606.0,10.2,215.37,62.0
26,2023-06-13 17:18:14,0:00:00.711801,00:00:26,20676.88671875,21961.990234375,12662.0,11606.0,10.2,200.40,62.0
27,2023-06-13 17:18:15,0:00:00.635609,00:00:26,23636.208333333332,21377.21484375,12662.0,11606.0,10.2,214.99,62.0
28,2023-06-13 17:18:16,0:00:00.734889,00:00:27,19759.159505208332,20717.884765625,12662.0,11606.0,10.2,192.57,62.0
29,2023-06-13 17:18:17,0:00:00.665910,00:00:28,18836.785807291668,19980.02734375,12662.0,11606.0,10.2,200.47,62.0
30,2023-06-13 17:18:18,0:00:00.702190,00:00:29,18364.046223958332,19154.314453125,12662.0,11606.0,10.2,206.09,62.0
31,2023-06-13 17:18:19,0:00:00.771966,00:00:30,18169.31640625,18234.576171875,12662.0,11606.0,10.2,192.38,62.0
32,2023-06-13 17:18:20,0:00:00.660735,00:00:31,17300.723958333332,17224.1015625,12662.0,11606.0,10.2,215.38,63.0
33,2023-06-13 17:18:20,0:00:00.772720,00:00:32,16826.447591145832,16121.3427734375,12662.0,11606.0,10.2,201.21,63.0
