EPOCH_NUM,EPOCH_START_TIME,LAP_TIME,TOTAL_TIME,TRAIN_LOSS,VALID_LOSS,USED_GPU_MOMORY,FREE_GPU_MEMORY,MEMORY_PERCENTAGE,CURRENT_GPU_POWER_CONSUMPTION,GPU_TEMPERATURE
1,2023-06-13 17:13:59,0:00:02.373729,00:00:05,24259.6396484375,25314.431640625,6148.0,18120.0,10.7,174.91,65.0
2,2023-06-13 17:14:02,0:00:00.594560,00:00:06,25477.5,25304.541015625,6148.0,18120.0,10.7,227.58,66.0
3,2023-06-13 17:14:02,0:00:00.605901,00:00:06,24333.811848958332,25289.666015625,6148.0,18120.0,10.7,220.77,66.0
4,2023-06-13 17:14:03,0:00:00.628978,00:00:07,24319.909505208332,25265.6015625,6148.0,18120.0,10.7,221.33,66.0
5,2023-06-13 17:14:04,0:00:00.659789,00:00:08,24204.459635416668,25226.80078125,6148.0,18120.0,10.7,212.47,66.0
6,2023-06-13 17:14:05,0:00:00.607789,00:00:09,24237.877604166668,25163.763671875,6148.0,18120.0,10.7,221.52,66.0
7,2023-06-13 17:14:06,0:00:00.611278,00:00:10,24694.3916015625,25061.283203125,6148.0,18120.0,10.7,221.99,66.0
8,2023-06-13 17:14:06,0:00:00.621854,00:00:10,24350.495768229168,24898.826171875,6148.0,18120.0,10.7,212.45,66.0
9,2023-06-13 17:14:07,0:00:00.589321,00:00:11,23511.1728515625,24645.796875,6148.0,18120.0,10.7,221.54,66.0
10,2023-06-13 17:14:08,0:00:00.695765,00:00:12,22702.2607421875,24266.658203125,6148.0,18120.0,10.7,212.51,66.0
11,2023-06-13 17:14:09,0:00:00.600151,00:00:13,23653.127604166668,23716.80859375,6148.0,18120.0,10.7,222.57,66.0
12,2023-06-13 17:14:09,0:00:00.597278,00:00:13,23579.238932291668,22947.240234375,6148.0,18120.0,10.7,220.14,66.0
13,2023-06-13 17:14:10,0:00:00.602281,00:00:14,21359.484700520832,21895.88671875,6148.0,18120.0,10.7,218.49,66.0
14,2023-06-13 17:14:11,0:00:00.608004,00:00:15,21062.00390625,20509.591796875,6148.0,18120.0,10.7,218.55,66.0
