epoch_num,start_time,lap_time,train_loss,valid_loss,used_gpu_memory,free_gpu_memory,memory_percentage,current_gpu_power_consumption,gpu_temperature
46,2023-06-13 15:32:05,0:00:01.978466,642.3397216796875,789.0960693359375,23431.0,837.0,19.3,190.47,66.0
47,2023-06-13 15:32:07,0:00:02.065190,660.8016967773438,801.4947509765625,23431.0,837.0,19.3,204.68,66.0
48,2023-06-13 15:32:09,0:00:01.655137,679.2885437011719,806.4585571289062,23431.0,837.0,19.3,223.11,68.0
49,2023-06-13 15:32:11,0:00:01.094035,640.2383728027344,798.6904296875,23431.0,837.0,19.5,209.91,68.0
50,2023-06-13 15:32:12,0:00:00.977220,607.8151550292969,798.649169921875,23431.0,837.0,19.6,209.67,66.0
51,2023-06-13 15:32:15,0:00:00.557389,764.6906127929688,790.3346557617188,23433.0,835.0,19.3,179.40,66.0
52,2023-06-13 15:32:16,0:00:00.665605,702.1692199707031,773.55078125,23433.0,835.0,19.3,184.24,66.0
53,2023-06-13 15:32:17,0:00:01.792651,746.7637023925781,767.90625,23433.0,835.0,19.3,196.46,66.0
54,2023-06-13 15:32:19,0:00:01.928866,596.665283203125,767.1810913085938,23433.0,835.0,19.3,191.72,66.0
55,2023-06-13 15:32:21,0:00:02.014644,673.2048034667969,772.8815307617188,23433.0,835.0,19.4,194.47,66.0
56,2023-06-13 15:32:23,0:00:01.837539,551.3226776123047,790.3370971679688,23433.0,835.0,19.3,220.49,68.0
57,2023-06-13 15:32:25,0:00:01.469010,565.0938415527344,799.4810791015625,23433.0,835.0,19.5,222.95,66.0
58,2023-06-13 15:32:27,0:00:01.444705,608.966552734375,782.8971557617188,23433.0,835.0,19.5,216.44,67.0
59,2023-06-13 15:32:29,0:00:01.214939,597.4241027832031,761.1270751953125,23433.0,835.0,19.5,210.63,67.0
60,2023-06-13 15:32:30,0:00:00.966833,662.8039855957031,746.8946533203125,23433.0,835.0,19.5,208.05,67.0
61,2023-06-13 15:32:31,0:00:01.211119,647.6861877441406,747.7161254882812,23433.0,835.0,19.5,208.96,66.0
62,2023-06-13 15:32:33,0:00:01.628179,597.2561950683594,765.1886596679688,23433.0,835.0,19.5,203.78,66.0
63,2023-06-13 15:32:35,0:00:01.659420,600.9122924804688,769.5706176757812,23433.0,835.0,19.3,198.76,67.0
64,2023-06-13 15:32:37,0:00:02.189065,613.8787231445312,758.5441284179688,23433.0,835.0,19.3,195.30,66.0
65,2023-06-13 15:32:39,0:00:01.653780,583.9712219238281,750.4729614257812,23433.0,835.0,19.5,220.63,67.0
66,2023-06-13 15:32:41,0:00:01.495091,587.8903198242188,740.8268432617188,23433.0,835.0,19.5,210.50,68.0
67,2023-06-13 15:32:43,0:00:00.946791,609.9438171386719,733.451416015625,23433.0,835.0,19.5,214.24,69.0
68,2023-06-13 15:32:44,0:00:01.368545,609.3040161132812,732.7439575195312,23433.0,835.0,19.5,214.10,66.0
69,2023-06-13 15:32:45,0:00:01.737504,675.5788269042969,736.8468017578125,23433.0,835.0,19.5,213.17,66.0
70,2023-06-13 15:32:47,0:00:01.813802,563.9486694335938,727.0147094726562,23433.0,835.0,19.5,205.52,68.0
71,2023-06-13 15:32:49,0:00:01.665062,566.8692016601562,713.671875,23433.0,835.0,19.5,206.16,68.0
72,2023-06-13 15:32:51,0:00:01.477402,551.4795074462891,717.6885986328125,23433.0,835.0,19.5,207.37,66.0
73,2023-06-13 15:32:53,0:00:01.571890,574.7557373046875,736.199951171875,23433.0,835.0,19.5,206.58,66.0
74,2023-06-13 15:32:55,0:00:01.550946,638.7386474609375,721.145263671875,23433.0,835.0,19.5,202.03,66.0
75,2023-06-13 15:32:57,0:00:01.547108,535.5853729248047,702.1705932617188,23433.0,835.0,19.3,202.71,66.0
76,2023-06-13 15:32:58,0:00:01.628962,689.9540100097656,702.3689575195312,23433.0,835.0,19.5,202.68,66.0
77,2023-06-13 15:33:00,0:00:01.545622,564.9769897460938,707.035400390625,23433.0,835.0,19.5,211.73,67.0
78,2023-06-13 15:33:02,0:00:01.586157,617.4468078613281,704.1635131835938,23433.0,835.0,19.5,207.03,66.0
79,2023-06-13 15:33:04,0:00:01.467882,617.4485168457031,676.326904296875,23433.0,835.0,19.5,207.46,66.0
80,2023-06-13 15:33:06,0:00:01.576131,521.3686981201172,661.8347778320312,23433.0,835.0,19.3,193.94,66.0
81,2023-06-13 15:33:07,0:00:01.819971,628.5921325683594,673.3383178710938,23433.0,835.0,19.3,192.09,66.0
82,2023-06-13 15:33:09,0:00:01.779277,605.798583984375,672.676513671875,23433.0,835.0,19.3,192.03,66.0
83,2023-06-13 15:33:11,0:00:01.837771,533.8631591796875,648.3877563476562,23433.0,835.0,19.3,193.29,66.0
84,2023-06-13 15:33:13,0:00:01.929285,521.2475433349609,646.9061279296875,23433.0,835.0,19.3,183.49,66.0
85,2023-06-13 15:33:16,0:00:01.978107,531.9085388183594,669.7974853515625,23433.0,835.0,19.3,184.69,66.0
86,2023-06-13 15:33:18,0:00:01.790245,467.36192321777344,675.9378051757812,23433.0,835.0,19.4,206.34,66.0
87,2023-06-13 15:33:20,0:00:01.544424,481.1426696777344,650.8954467773438,23433.0,835.0,19.5,211.23,68.0
88,2023-06-13 15:33:22,0:00:01.648324,477.30332946777344,616.26220703125,23433.0,835.0,19.3,197.29,66.0
89,2023-06-13 15:33:23,0:00:01.735971,530.4824371337891,610.9817504882812,23433.0,835.0,19.3,190.90,66.0
90,2023-06-13 15:33:25,0:00:01.932147,468.0220031738281,653.87890625,23433.0,835.0,19.3,186.76,67.0
91,2023-06-13 15:33:28,0:00:01.958546,501.2728729248047,676.462158203125,23433.0,835.0,19.4,201.00,67.0
92,2023-06-13 15:33:30,0:00:01.847836,572.6641693115234,601.11767578125,23433.0,835.0,19.3,204.27,67.0
93,2023-06-13 15:33:32,0:00:01.901265,453.2027130126953,579.768798828125,23433.0,835.0,19.3,210.65,67.0
94,2023-06-13 15:33:34,0:00:02.016024,510.4734344482422,606.3453979492188,23433.0,835.0,19.3,210.19,68.0
95,2023-06-13 15:33:36,0:00:01.631748,463.64715576171875,645.5947875976562,23433.0,835.0,19.3,215.67,68.0
96,2023-06-13 15:33:38,0:00:01.500956,477.0800476074219,603.5835571289062,23433.0,835.0,19.5,211.71,67.0
97,2023-06-13 15:33:40,0:00:00.933632,532.4021606445312,560.8289184570312,23433.0,835.0,19.5,208.93,67.0
98,2023-06-13 15:33:41,0:00:01.098648,523.7783660888672,555.3589477539062,23433.0,835.0,19.5,213.00,66.0
99,2023-06-13 15:33:42,0:00:01.601817,449.9755859375,578.9234008789062,23433.0,835.0,19.5,206.02,66.0
100,2023-06-13 15:33:44,0:00:01.650365,414.8398132324219,604.1589965820312,23433.0,835.0,19.5,200.50,66.0
