epoch_num,start_time,lap_time,train_loss,valid_loss,used_gpu_memory,free_gpu_memory,memory_percentage,current_gpu_power_consumption,gpu_temperature
1,2023-06-13 14:28:35,0:00:03.986948,18818.643229166668,19375.953125,20105.0,4163.0,19.4,221.45,68.0
2,2023-06-13 14:28:39,0:00:01.176072,17631.225911458332,19371.705078125,20105.0,4163.0,19.4,204.64,68.0
3,2023-06-13 14:28:40,0:00:01.020292,19906.645833333332,19366.9296875,20105.0,4163.0,19.4,219.93,65.0
4,2023-06-13 14:28:42,0:00:01.259589,18007.9453125,19361.53515625,20105.0,4163.0,19.5,203.71,68.0
5,2023-06-13 14:28:43,0:00:01.077479,17964.690755208332,19355.18359375,20105.0,4163.0,19.5,222.88,65.0
6,2023-06-13 14:28:44,0:00:01.251004,19296.994791666668,19347.505859375,20105.0,4163.0,19.5,216.09,67.0
7,2023-06-13 14:28:46,0:00:01.253044,19063.58203125,19338.154296875,20105.0,4163.0,19.3,223.99,65.0
8,2023-06-13 14:28:48,0:00:01.161576,18606.170572916668,19326.62109375,20105.0,4163.0,19.2,205.47,66.0
