EPOCH_NUM,EPOCH_START_TIME,LAP_TIME,TOTAL_TIME,TRAIN_LOSS,VALID_LOSS,USED_GPU_MOMORY,FREE_GPU_MEMORY,MEMORY_PERCENTAGE,CURRENT_GPU_POWER_CONSUMPTION,GPU_TEMPERATURE
1,2023-06-13 15:58:23,0:00:03.428672,00:00:06,18912.6748046875,19343.76953125,23431.0,837.0,18.9,223.07,66.0
2,2023-06-13 15:58:26,0:00:02.039725,00:00:09,18735.478515625,19261.259765625,23431.0,837.0,18.9,186.12,66.0
3,2023-06-13 15:58:29,0:00:02.227806,00:00:11,18674.384765625,19073.419921875,23431.0,837.0,18.9,189.19,66.0
4,2023-06-13 15:58:31,0:00:01.931466,00:00:13,18560.765625,18694.36328125,23431.0,837.0,18.9,206.64,66.0
5,2023-06-13 15:58:33,0:00:00.663876,00:00:14,17981.9169921875,17994.208984375,23431.0,837.0,18.9,199.49,66.0
6,2023-06-13 15:58:34,0:00:00.742293,00:00:15,17167.9130859375,16791.791015625,23431.0,837.0,18.9,183.03,66.0
7,2023-06-13 15:58:35,0:00:02.126887,00:00:17,15898.17041015625,14887.2890625,23431.0,837.0,18.9,187.86,66.0
8,2023-06-13 15:58:37,0:00:01.995838,00:00:20,13702.68408203125,12109.2939453125,23431.0,837.0,18.9,203.89,66.0
9,2023-06-13 15:58:40,0:00:02.087767,00:00:22,10597.2109375,8496.8857421875,23431.0,837.0,18.9,200.70,66.0
10,2023-06-13 15:58:42,0:00:01.620254,00:00:24,6875.823974609375,4611.2099609375,23431.0,837.0,18.9,221.17,68.0
11,2023-06-13 15:58:44,0:00:01.511545,00:00:26,3388.274169921875,2112.249755859375,23431.0,837.0,19.1,214.78,65.0
12,2023-06-13 15:58:45,0:00:01.492660,00:00:27,2029.5309448242188,2908.82275390625,23431.0,837.0,19.0,207.05,67.0
13,2023-06-13 15:58:47,0:00:01.425246,00:00:29,4045.0904541015625,3359.99365234375,23431.0,837.0,19.0,209.28,67.0
14,2023-06-13 15:58:49,0:00:01.103158,00:00:30,3339.198974609375,1910.509521484375,23431.0,837.0,19.0,205.95,66.0
15,2023-06-13 15:58:50,0:00:01.583801,00:00:32,1807.7045288085938,959.2733154296875,23431.0,837.0,19.0,211.39,66.0
16,2023-06-13 15:58:52,0:00:01.522118,00:00:34,812.8315734863281,1088.5220947265625,23431.0,837.0,19.0,210.10,66.0
17,2023-06-13 15:58:54,0:00:01.747276,00:00:36,882.5554504394531,1587.1142578125,23431.0,837.0,19.0,211.15,66.0
18,2023-06-13 15:58:56,0:00:01.736674,00:00:38,1314.3136596679688,1840.857666015625,23431.0,837.0,19.0,196.55,66.0
19,2023-06-13 15:58:57,0:00:01.967717,00:00:40,1413.2015380859375,1710.4835205078125,23431.0,837.0,18.9,197.54,65.0
20,2023-06-13 15:59:00,0:00:01.875404,00:00:42,1266.5344848632812,1346.827880859375,23431.0,837.0,19.0,191.04,65.0
21,2023-06-13 15:59:02,0:00:01.646934,00:00:44,996.50146484375,1021.552001953125,23431.0,837.0,18.9,206.58,65.0
22,2023-06-13 15:59:04,0:00:01.653640,00:00:46,886.2142333984375,931.2919921875,23431.0,837.0,19.0,207.93,65.0
23,2023-06-13 15:59:06,0:00:01.495876,00:00:47,990.9309997558594,989.3822631835938,23431.0,837.0,19.0,210.42,66.0
24,2023-06-13 15:59:07,0:00:01.411111,00:00:49,1077.2252807617188,975.9118041992188,23431.0,837.0,19.0,204.80,66.0
25,2023-06-13 15:59:09,0:00:01.794552,00:00:51,997.7903137207031,858.6889038085938,23431.0,837.0,19.0,203.49,65.0
26,2023-06-13 15:59:11,0:00:01.624137,00:00:53,818.8328552246094,820.7074584960938,23431.0,837.0,19.0,211.74,66.0
27,2023-06-13 15:59:13,0:00:01.771807,00:00:55,721.4580383300781,910.801513671875,23431.0,837.0,18.9,191.18,66.0
28,2023-06-13 15:59:15,0:00:01.845085,00:00:57,734.6395874023438,1010.64111328125,23431.0,837.0,18.9,189.96,66.0
29,2023-06-13 15:59:17,0:00:01.905166,00:00:59,694.3526306152344,1031.195556640625,23431.0,837.0,18.9,198.92,66.0
30,2023-06-13 15:59:19,0:00:01.913032,00:01:01,818.8910217285156,957.0126953125,23431.0,837.0,18.9,200.38,66.0
31,2023-06-13 15:59:21,0:00:01.892344,00:01:03,663.7839965820312,846.7919921875,23431.0,837.0,18.9,189.48,66.0
32,2023-06-13 15:59:23,0:00:02.057352,00:01:06,667.2734985351562,781.9615478515625,23431.0,837.0,18.9,184.49,66.0
33,2023-06-13 15:59:25,0:00:02.159141,00:01:08,737.4528503417969,765.7588500976562,23431.0,837.0,18.9,195.06,66.0
34,2023-06-13 15:59:28,0:00:01.925508,00:01:10,719.7944946289062,769.424072265625,23431.0,837.0,18.9,210.43,66.0
35,2023-06-13 15:59:30,0:00:02.029839,00:01:12,789.2640380859375,759.8932495117188,23431.0,837.0,18.9,204.52,66.0
36,2023-06-13 15:59:32,0:00:01.926861,00:01:14,682.7525024414062,768.4814453125,23431.0,837.0,18.9,203.15,66.0
37,2023-06-13 15:59:34,0:00:02.043056,00:01:17,730.1918640136719,810.877685546875,23431.0,837.0,18.9,201.65,66.0
38,2023-06-13 15:59:36,0:00:01.844135,00:01:19,617.6470947265625,855.22119140625,23431.0,837.0,19.0,208.84,66.0
39,2023-06-13 15:59:38,0:00:01.130569,00:01:20,711.537841796875,862.7735595703125,23431.0,837.0,19.1,208.89,66.0
40,2023-06-13 15:59:40,0:00:01.458537,00:01:22,682.2682189941406,815.3623657226562,23431.0,837.0,19.0,198.75,66.0
41,2023-06-13 15:59:42,0:00:01.602783,00:01:24,625.8829040527344,754.94873046875,23431.0,837.0,19.0,205.97,66.0
42,2023-06-13 15:59:43,0:00:01.714750,00:01:25,582.6225738525391,738.9576416015625,23431.0,837.0,19.0,198.78,66.0
43,2023-06-13 15:59:45,0:00:01.591227,00:01:27,642.2853088378906,738.3043823242188,23431.0,837.0,19.0,197.17,65.0
44,2023-06-13 15:59:47,0:00:01.506532,00:01:29,591.1536865234375,760.9100952148438,23431.0,837.0,19.0,208.73,66.0
45,2023-06-13 15:59:49,0:00:01.581355,00:01:31,574.5167999267578,800.1207275390625,23431.0,837.0,18.9,198.62,66.0
46,2023-06-13 15:59:51,0:00:01.898656,00:01:33,605.7744140625,807.1873779296875,23431.0,837.0,18.9,188.69,66.0
47,2023-06-13 15:59:53,0:00:01.773112,00:01:35,621.6299438476562,783.8336791992188,23431.0,837.0,18.9,199.24,66.0
48,2023-06-13 15:59:55,0:00:02.007357,00:01:37,589.7686767578125,745.59423828125,23431.0,837.0,18.9,202.15,67.0
49,2023-06-13 15:59:57,0:00:01.681101,00:01:39,639.8621520996094,722.9234619140625,23431.0,837.0,18.9,220.89,68.0
50,2023-06-13 15:59:59,0:00:01.377624,00:01:41,710.740966796875,715.37451171875,23431.0,837.0,18.9,217.17,67.0
