EPOCH_NUM,EPOCH_START_TIME,LAP_TIME,TOTAL_TIME,TRAIN_LOSS,VALID_LOSS,USED_GPU_MOMORY,FREE_GPU_MEMORY,MEMORY_PERCENTAGE,CURRENT_GPU_POWER_CONSUMPTION,GPU_TEMPERATURE
1,2023-06-13 17:11:10,0:00:02.325504,00:00:05,24700.078125,25300.421875,7236.0,17032.0,10.7,171.30,66.0
2,2023-06-13 17:11:13,0:00:00.624475,00:00:06,23708.474609375,25287.1015625,7236.0,17032.0,10.7,219.66,66.0
3,2023-06-13 17:11:13,0:00:00.598834,00:00:06,24423.39765625,25270.533203125,7236.0,17032.0,10.7,222.51,67.0
4,2023-06-13 17:11:14,0:00:00.669620,00:00:07,23624.255859375,25247.203125,7236.0,17032.0,10.7,215.88,66.0
5,2023-06-13 17:11:15,0:00:00.632964,00:00:08,24825.640625,25211.888671875,7236.0,17032.0,10.7,214.85,67.0
6,2023-06-13 17:11:16,0:00:00.558710,00:00:09,24071.76484375,25157.763671875,7236.0,17032.0,10.7,224.55,67.0
7,2023-06-13 17:11:16,0:00:00.605095,00:00:09,23943.472265625,25077.361328125,7236.0,17032.0,10.7,230.43,67.0
8,2023-06-13 17:11:17,0:00:00.630531,00:00:10,23654.385546875,24961.013671875,7236.0,17032.0,10.7,227.23,66.0
9,2023-06-13 17:11:18,0:00:00.636706,00:00:11,23680.295703125,24795.0625,7236.0,17032.0,10.7,226.51,67.0
10,2023-06-13 17:11:19,0:00:00.586358,00:00:12,23984.758203125,24558.427734375,7236.0,17032.0,10.7,225.17,67.0
11,2023-06-13 17:11:20,0:00:00.608052,00:00:12,23754.834375,24228.861328125,7236.0,17032.0,10.7,228.11,67.0
