epoch_num,start_time,lap_time,train_loss,valid_loss,used_gpu_memory,free_gpu_memory,memory_percentage,current_gpu_power_consumption,gpu_temperature
1,2023-06-13 15:24:09,0:00:03.488822,18812.1787109375,19352.5,23431.0,837.0,18.9,225.07,65.0
2,2023-06-13 15:24:13,0:00:02.023220,18780.8623046875,19283.880859375,23431.0,837.0,19.3,195.59,65.0
3,2023-06-13 15:24:15,0:00:01.382143,18700.953125,19113.70703125,23431.0,837.0,19.4,220.01,65.0
4,2023-06-13 15:24:17,0:00:00.973109,18317.439453125,18754.669921875,23431.0,837.0,19.4,210.05,66.0
5,2023-06-13 15:24:18,0:00:00.964324,17893.130859375,18083.12890625,23431.0,837.0,19.4,207.44,66.0
6,2023-06-13 15:24:19,0:00:01.629381,17234.8173828125,16933.6953125,23431.0,837.0,19.4,210.20,66.0
7,2023-06-13 15:24:21,0:00:01.499232,15993.7001953125,15116.3427734375,23431.0,837.0,19.4,203.85,65.0
8,2023-06-13 15:24:23,0:00:01.476994,13793.451171875,12455.962890625,23431.0,837.0,19.4,210.04,65.0
9,2023-06-13 15:24:25,0:00:01.528762,10914.7529296875,8946.8505859375,23431.0,837.0,19.4,208.34,65.0
10,2023-06-13 15:24:26,0:00:01.445175,7377.019775390625,5033.73779296875,23431.0,837.0,19.4,210.50,66.0
11,2023-06-13 15:24:28,0:00:01.664776,3636.1552734375,2133.460205078125,23431.0,837.0,19.4,207.82,66.0
12,2023-06-13 15:24:30,0:00:01.610952,1899.8703002929688,2348.623046875,23431.0,837.0,19.3,193.60,66.0
13,2023-06-13 15:24:32,0:00:01.995708,3215.36279296875,3310.65283203125,23431.0,837.0,19.3,194.74,65.0
14,2023-06-13 15:24:34,0:00:01.698742,3582.7933349609375,2137.580078125,23431.0,837.0,19.3,208.17,65.0
15,2023-06-13 15:24:36,0:00:01.876619,2139.6653442382812,976.2014770507812,23431.0,837.0,19.4,207.65,67.0
16,2023-06-13 15:24:38,0:00:01.448841,902.5867919921875,963.85791015625,23431.0,837.0,19.4,204.55,66.0
17,2023-06-13 15:24:40,0:00:01.696247,961.471923828125,1502.1357421875,23431.0,837.0,19.4,213.69,65.0
18,2023-06-13 15:24:42,0:00:01.560920,1269.0831909179688,1859.048095703125,23431.0,837.0,19.3,193.90,66.0
19,2023-06-13 15:24:44,0:00:01.747075,1564.1555786132812,1812.833984375,23431.0,837.0,19.4,204.26,66.0
20,2023-06-13 15:24:46,0:00:01.616562,1368.3954467773438,1475.792724609375,23431.0,837.0,19.4,210.32,66.0
21,2023-06-13 15:24:48,0:00:01.435339,1099.25048828125,1122.710693359375,23431.0,837.0,19.4,209.20,66.0
22,2023-06-13 15:24:49,0:00:01.613622,877.2560729980469,972.6724853515625,23431.0,837.0,19.4,208.15,68.0
23,2023-06-13 15:24:51,0:00:01.540737,863.3882751464844,993.1141357421875,23431.0,837.0,19.4,208.55,66.0
24,2023-06-13 15:24:53,0:00:01.378864,960.1907043457031,982.2669067382812,23431.0,837.0,19.4,211.03,66.0
25,2023-06-13 15:24:55,0:00:01.443767,1004.6894226074219,882.1892700195312,23431.0,837.0,19.4,210.21,66.0
26,2023-06-13 15:24:56,0:00:01.568831,855.0957946777344,815.7606201171875,23431.0,837.0,19.4,211.40,66.0
27,2023-06-13 15:24:58,0:00:01.568930,667.2145080566406,869.49072265625,23431.0,837.0,19.4,205.32,66.0
28,2023-06-13 15:25:00,0:00:01.439471,677.1959533691406,973.1793823242188,23431.0,837.0,19.4,212.07,66.0
29,2023-06-13 15:25:02,0:00:01.624207,765.111572265625,1023.025634765625,23431.0,837.0,19.4,210.30,67.0
30,2023-06-13 15:25:04,0:00:01.489013,731.8431091308594,983.5956420898438,23431.0,837.0,19.5,212.20,67.0
31,2023-06-13 15:25:05,0:00:01.212231,728.9067993164062,898.3812255859375,23431.0,837.0,19.4,210.14,67.0
32,2023-06-13 15:25:07,0:00:01.634551,719.7992858886719,834.8699340820312,23431.0,837.0,19.4,207.16,68.0
33,2023-06-13 15:25:09,0:00:01.552925,673.0915832519531,806.3479614257812,23431.0,837.0,19.4,211.44,66.0
34,2023-06-13 15:25:11,0:00:01.535909,660.7650756835938,794.6866455078125,23431.0,837.0,19.4,212.39,66.0
35,2023-06-13 15:25:12,0:00:01.567688,712.3158264160156,794.0966796875,23431.0,837.0,19.3,207.51,66.0
36,2023-06-13 15:25:14,0:00:01.777046,663.583984375,808.3284301757812,23431.0,837.0,19.3,197.05,66.0
37,2023-06-13 15:25:16,0:00:01.778420,642.8248291015625,834.7262573242188,23431.0,837.0,19.4,204.69,66.0
38,2023-06-13 15:25:18,0:00:01.747579,707.7340087890625,861.1773681640625,23431.0,837.0,19.4,200.20,67.0
39,2023-06-13 15:25:20,0:00:01.507797,606.8768768310547,863.8861694335938,23431.0,837.0,19.4,205.96,69.0
40,2023-06-13 15:25:22,0:00:01.454831,675.8743591308594,835.291259765625,23431.0,837.0,19.4,211.21,66.0
41,2023-06-13 15:25:24,0:00:01.452329,659.6619873046875,802.8265991210938,23431.0,837.0,19.4,212.27,67.0
42,2023-06-13 15:25:25,0:00:01.561079,653.4297180175781,787.5862426757812,23431.0,837.0,19.3,207.53,66.0
43,2023-06-13 15:25:27,0:00:01.539929,611.1487731933594,786.8505859375,23431.0,837.0,19.3,197.29,67.0
44,2023-06-13 15:25:29,0:00:00.657716,702.8944702148438,797.20458984375,23431.0,837.0,19.3,185.47,67.0
45,2023-06-13 15:25:30,0:00:00.728897,590.8993988037109,814.1286010742188,23431.0,837.0,19.3,196.99,67.0
46,2023-06-13 15:25:31,0:00:01.806404,656.7182312011719,819.2266845703125,23431.0,837.0,19.3,204.95,66.0
47,2023-06-13 15:25:33,0:00:01.624417,643.4957580566406,809.122314453125,23431.0,837.0,19.3,204.37,66.0
48,2023-06-13 15:25:35,0:00:01.654468,713.4952392578125,795.5680541992188,23431.0,837.0,19.3,198.29,67.0
49,2023-06-13 15:25:37,0:00:01.940659,652.703857421875,785.5043334960938,23431.0,837.0,19.3,188.81,67.0
50,2023-06-13 15:25:39,0:00:01.738362,724.5041198730469,780.8988647460938,23431.0,837.0,19.3,207.78,67.0
51,2023-06-13 15:25:43,0:00:01.499475,605.3180236816406,779.8865356445312,23433.0,835.0,19.3,196.76,67.0
52,2023-06-13 15:25:45,0:00:01.687391,720.1265258789062,785.1472778320312,23433.0,835.0,19.3,222.32,68.0
53,2023-06-13 15:25:46,0:00:01.495078,616.4573059082031,796.748046875,23433.0,835.0,19.3,218.77,69.0
54,2023-06-13 15:25:48,0:00:01.011904,652.06689453125,814.0587158203125,23433.0,835.0,19.4,206.48,68.0
55,2023-06-13 15:25:49,0:00:01.067709,657.6279602050781,820.3278198242188,23433.0,835.0,19.4,210.30,67.0
56,2023-06-13 15:25:51,0:00:01.028766,596.3356628417969,810.12841796875,23433.0,835.0,19.4,211.78,69.0
57,2023-06-13 15:25:52,0:00:01.029854,637.4290161132812,796.6258544921875,23433.0,835.0,19.4,210.86,67.0
58,2023-06-13 15:25:53,0:00:00.971008,689.1679382324219,783.9361572265625,23433.0,835.0,19.4,208.34,67.0
59,2023-06-13 15:25:55,0:00:00.934919,653.4851379394531,777.474609375,23433.0,835.0,19.4,211.87,69.0
60,2023-06-13 15:25:56,0:00:01.273610,691.7712097167969,784.039306640625,23433.0,835.0,19.4,214.01,68.0
61,2023-06-13 15:25:57,0:00:01.045049,576.4091339111328,800.4093627929688,23433.0,835.0,19.4,203.28,67.0
62,2023-06-13 15:25:59,0:00:01.463308,582.5416412353516,814.1222534179688,23433.0,835.0,19.4,209.96,67.0
63,2023-06-13 15:26:00,0:00:01.023099,610.979736328125,817.5690307617188,23433.0,835.0,19.4,210.47,69.0
64,2023-06-13 15:26:02,0:00:01.323285,682.1709289550781,806.18359375,23433.0,835.0,19.4,211.02,67.0
65,2023-06-13 15:26:03,0:00:01.494824,693.2616577148438,782.0625610351562,23433.0,835.0,19.4,208.02,67.0
66,2023-06-13 15:26:05,0:00:01.682377,629.7908020019531,768.4097900390625,23433.0,835.0,19.3,191.64,67.0
67,2023-06-13 15:26:07,0:00:01.958514,703.3082885742188,770.5791625976562,23433.0,835.0,19.4,195.38,66.0
68,2023-06-13 15:26:09,0:00:01.630659,621.7273254394531,784.8323364257812,23433.0,835.0,19.4,211.34,69.0
69,2023-06-13 15:26:11,0:00:01.431025,643.8511962890625,804.7655029296875,23433.0,835.0,19.4,212.31,67.0
70,2023-06-13 15:26:13,0:00:01.564259,567.9405517578125,816.9722900390625,23433.0,835.0,19.4,211.33,67.0
71,2023-06-13 15:26:15,0:00:01.448093,690.9220886230469,813.9268188476562,23433.0,835.0,19.4,210.73,67.0
72,2023-06-13 15:26:16,0:00:01.768340,714.4180603027344,788.6041870117188,23433.0,835.0,19.3,200.32,67.0
73,2023-06-13 15:26:18,0:00:01.910739,622.0032958984375,764.017578125,23433.0,835.0,19.4,203.78,66.0
74,2023-06-13 15:26:21,0:00:01.520298,618.6067199707031,763.06689453125,23433.0,835.0,19.4,212.40,68.0
75,2023-06-13 15:26:22,0:00:01.572991,583.0239562988281,782.07470703125,23433.0,835.0,19.4,210.05,67.0
76,2023-06-13 15:26:24,0:00:01.604453,708.6312866210938,803.215576171875,23433.0,835.0,19.3,209.95,67.0
77,2023-06-13 15:26:26,0:00:01.521617,648.4516296386719,805.6963500976562,23433.0,835.0,19.4,210.61,67.0
78,2023-06-13 15:26:28,0:00:01.573215,636.3705749511719,787.6614379882812,23433.0,835.0,19.4,211.13,68.0
79,2023-06-13 15:26:30,0:00:01.434585,589.19970703125,759.5909423828125,23433.0,835.0,19.4,209.45,68.0
80,2023-06-13 15:26:31,0:00:01.435152,563.4294586181641,748.1381225585938,23433.0,835.0,19.4,211.22,67.0
81,2023-06-13 15:26:33,0:00:01.488038,613.9693908691406,751.0488891601562,23433.0,835.0,19.4,209.08,68.0
82,2023-06-13 15:26:35,0:00:01.559352,563.7657318115234,763.9776000976562,23433.0,835.0,19.3,200.72,67.0
