EPOCH_NUM,EPOCH_START_TIME,LAP_TIME,TOTAL_TIME,TRAIN_LOSS,VALID_LOSS,USED_GPU_MOMORY,FREE_GPU_MEMORY,MEMORY_PERCENTAGE,CURRENT_GPU_POWER_CONSUMPTION,GPU_TEMPERATURE
1,2023-06-13 16:01:07,0:00:03.985631,00:00:07,18723.6259765625,19341.716796875,23431.0,837.0,18.9,221.35,67.0
2,2023-06-13 16:01:11,0:00:01.842807,00:00:09,18606.4921875,19258.560546875,23431.0,837.0,19.0,218.73,67.0
3,2023-06-13 16:01:13,0:00:01.509953,00:00:11,18615.544921875,19067.53515625,23431.0,837.0,18.9,220.08,67.0
4,2023-06-13 16:01:15,0:00:02.060633,00:00:13,18457.2470703125,18689.064453125,23431.0,837.0,18.9,207.85,66.0
5,2023-06-13 16:01:17,0:00:01.826076,00:00:15,17768.0361328125,18008.662109375,23431.0,837.0,18.9,215.06,67.0
6,2023-06-13 16:01:19,0:00:01.475322,00:00:17,17136.919921875,16865.541015625,23431.0,837.0,19.1,208.92,66.0
7,2023-06-13 16:01:21,0:00:00.799056,00:00:18,15905.10205078125,15073.087890625,23431.0,837.0,19.1,208.36,67.0
8,2023-06-13 16:01:22,0:00:01.617276,00:00:19,13931.7568359375,12453.07421875,23431.0,837.0,19.0,200.23,68.0
9,2023-06-13 16:01:24,0:00:01.415154,00:00:21,10705.6552734375,8990.9853515625,23431.0,837.0,19.0,203.45,66.0
10,2023-06-13 16:01:25,0:00:01.762870,00:00:23,7303.002197265625,5113.51806640625,23431.0,837.0,18.9,191.46,66.0
11,2023-06-13 16:01:27,0:00:01.888003,00:00:25,3722.6932373046875,2279.779052734375,23431.0,837.0,18.9,195.48,66.0
12,2023-06-13 16:01:29,0:00:01.919144,00:00:27,2030.2398071289062,2528.61279296875,23431.0,837.0,18.9,190.43,66.0
13,2023-06-13 16:01:32,0:00:01.884378,00:00:29,3071.657470703125,3394.07763671875,23431.0,837.0,18.9,191.67,66.0
14,2023-06-13 16:01:34,0:00:01.893745,00:00:32,3679.0186767578125,2195.669677734375,23431.0,837.0,18.9,188.89,66.0
15,2023-06-13 16:01:36,0:00:01.854853,00:00:34,2085.5537109375,1039.2264404296875,23431.0,837.0,18.9,210.54,67.0
16,2023-06-13 16:01:38,0:00:02.052442,00:00:36,966.3902893066406,994.1715698242188,23431.0,837.0,18.9,203.91,66.0
17,2023-06-13 16:01:40,0:00:01.960989,00:00:38,854.2247619628906,1466.569580078125,23431.0,837.0,18.9,209.94,67.0
18,2023-06-13 16:01:42,0:00:01.886472,00:00:40,1269.5585327148438,1780.8629150390625,23431.0,837.0,19.0,209.78,66.0
19,2023-06-13 16:01:44,0:00:01.153288,00:00:41,1495.3912353515625,1719.0306396484375,23431.0,837.0,19.0,208.27,66.0
20,2023-06-13 16:01:46,0:00:01.054564,00:00:43,1316.0464477539062,1393.82568359375,23431.0,837.0,19.1,198.25,66.0
21,2023-06-13 16:01:47,0:00:01.265670,00:00:44,1114.8461303710938,1063.775146484375,23431.0,837.0,19.0,198.17,67.0
22,2023-06-13 16:01:48,0:00:01.499663,00:00:46,866.0040588378906,927.2338256835938,23431.0,837.0,19.0,210.77,67.0
23,2023-06-13 16:01:50,0:00:01.691222,00:00:48,918.4972534179688,961.0753784179688,23431.0,837.0,19.0,210.87,68.0
24,2023-06-13 16:01:52,0:00:01.562769,00:00:50,960.9999084472656,973.7291870117188,23431.0,837.0,19.0,202.33,66.0
25,2023-06-13 16:01:54,0:00:01.681910,00:00:52,982.1544189453125,877.7919921875,23431.0,837.0,19.0,210.56,66.0
26,2023-06-13 16:01:56,0:00:01.610630,00:00:53,770.2909240722656,811.65087890625,23431.0,837.0,18.9,201.08,66.0
27,2023-06-13 16:01:58,0:00:01.876589,00:00:55,713.5176391601562,861.5885620117188,23431.0,837.0,18.9,181.18,66.0
28,2023-06-13 16:02:00,0:00:01.910104,00:00:58,789.7763366699219,943.4713745117188,23431.0,837.0,18.8,190.49,66.0
29,2023-06-13 16:02:02,0:00:02.172133,00:01:00,752.0229797363281,963.311767578125,23431.0,837.0,19.0,200.23,66.0
30,2023-06-13 16:02:04,0:00:01.514761,00:01:02,797.8601989746094,899.54345703125,23431.0,837.0,19.0,212.08,66.0
31,2023-06-13 16:02:06,0:00:01.724573,00:01:04,710.7382507324219,813.0079345703125,23431.0,837.0,18.9,206.15,66.0
32,2023-06-13 16:02:08,0:00:01.838135,00:01:06,619.1035461425781,776.9043579101562,23431.0,837.0,19.0,211.20,68.0
33,2023-06-13 16:02:10,0:00:01.416294,00:01:07,698.2341613769531,775.6784057617188,23431.0,837.0,18.9,198.96,67.0
34,2023-06-13 16:02:12,0:00:00.719687,00:01:08,783.5589294433594,770.4769287109375,23431.0,837.0,18.8,185.49,66.0
35,2023-06-13 16:02:12,0:00:00.955362,00:01:09,652.1078491210938,779.0960693359375,23431.0,837.0,19.0,197.81,67.0
36,2023-06-13 16:02:14,0:00:01.545472,00:01:11,624.7809143066406,818.3347778320312,23431.0,837.0,19.0,222.00,67.0
37,2023-06-13 16:02:15,0:00:01.193566,00:01:13,621.6764831542969,853.6328125,23431.0,837.0,19.0,212.50,67.0
38,2023-06-13 16:02:17,0:00:01.575720,00:01:14,740.6189880371094,848.1731567382812,23431.0,837.0,19.0,203.91,66.0
39,2023-06-13 16:02:19,0:00:01.499372,00:01:16,626.66064453125,804.60693359375,23431.0,837.0,19.0,191.69,66.0
40,2023-06-13 16:02:20,0:00:01.637312,00:01:18,635.2745666503906,770.0178833007812,23431.0,837.0,18.8,201.72,66.0
41,2023-06-13 16:02:22,0:00:01.870087,00:01:20,643.4230041503906,757.302978515625,23431.0,837.0,18.8,201.62,66.0
42,2023-06-13 16:02:24,0:00:01.918329,00:01:22,711.7799072265625,757.0587158203125,23431.0,837.0,18.9,187.03,66.0
43,2023-06-13 16:02:26,0:00:01.918347,00:01:24,565.4093627929688,768.7694091796875,23431.0,837.0,18.8,189.45,66.0
44,2023-06-13 16:02:29,0:00:01.922182,00:01:26,693.9490966796875,783.0636596679688,23431.0,837.0,19.2,190.19,67.0
45,2023-06-13 16:02:31,0:00:02.023999,00:01:29,691.0429382324219,776.0082397460938,23431.0,837.0,18.9,182.89,66.0
46,2023-06-13 16:02:33,0:00:02.067628,00:01:31,727.6098327636719,753.3651733398438,23431.0,837.0,18.9,200.19,66.0
47,2023-06-13 16:02:35,0:00:01.988868,00:01:33,672.3048400878906,740.1449584960938,23431.0,837.0,18.8,202.17,66.0
48,2023-06-13 16:02:37,0:00:02.207007,00:01:36,670.2427368164062,738.4959106445312,23431.0,837.0,18.9,198.68,66.0
49,2023-06-13 16:02:40,0:00:01.567924,00:01:37,688.9171142578125,746.1627807617188,23431.0,837.0,19.1,218.24,66.0
50,2023-06-13 16:02:42,0:00:01.590333,00:01:39,608.7047424316406,757.9589233398438,23431.0,837.0,19.0,212.87,68.0
51,2023-06-13 16:02:45,0:00:01.453653,00:01:43,716.173095703125,762.035400390625,23433.0,835.0,19.0,208.33,67.0
52,2023-06-13 16:02:47,0:00:01.502087,00:01:44,565.1200561523438,757.961669921875,23433.0,835.0,19.0,210.62,67.0
53,2023-06-13 16:02:49,0:00:01.465338,00:01:46,595.553955078125,751.7628784179688,23433.0,835.0,19.0,212.24,68.0
